21:54:51 p.m. Name : 6 ==> Episode : 4 ; Steps : 2 ; Reward : 5 ; Epsilon : 0.1
21:54:52 p.m. Name : 7 ==> Episode : 4 ; Steps : 36 ; Reward : 5.4 ; Epsilon : 0.1
21:54:52 p.m. Name : 8 ==> Episode : 4 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:54:52 p.m. Name : 9 ==> Episode : 4 ; Steps : 200 ; Reward : 0.4 ; Epsilon : 0.1
21:54:52 p.m. Name : 10 ==> Episode : 4 ; Steps : 89 ; Reward : 5.5 ; Epsilon : 0.1
21:54:52 p.m. Name : 11 ==> Episode : 4 ; Steps : 26 ; Reward : 6 ; Epsilon : 0.1
21:55:02 p.m. Name : 0 ==> Episode : 5 ; Steps : 200 ; Reward : -0.8000001 ; Epsilon : 0.1
21:55:03 p.m. Name : 1 ==> Episode : 5 ; Steps : 141 ; Reward : 5.5 ; Epsilon : 0.1
21:55:03 p.m. Name : 2 ==> Episode : 5 ; Steps : 11 ; Reward : 5.5 ; Epsilon : 0.1
21:55:03 p.m. Name : 3 ==> Episode : 5 ; Steps : 80 ; Reward : 5.6 ; Epsilon : 0.1
21:55:03 p.m. Name : 4 ==> Episode : 5 ; Steps : 15 ; Reward : 5.1 ; Epsilon : 0.1
21:55:03 p.m. Name : 5 ==> Episode : 5 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:55:03 p.m. Name : 6 ==> Episode : 5 ; Steps : 23 ; Reward : 5.1 ; Epsilon : 0.1
21:55:03 p.m. Name : 7 ==> Episode : 5 ; Steps : 159 ; Reward : 5.5 ; Epsilon : 0.1
21:55:03 p.m. Name : 8 ==> Episode : 5 ; Steps : 74 ; Reward : 5.6 ; Epsilon : 0.1
21:55:03 p.m. Name : 9 ==> Episode : 5 ; Steps : 19 ; Reward : 5.1 ; Epsilon : 0.1
21:55:03 p.m. Name : 10 ==> Episode : 5 ; Steps : 200 ; Reward : -0.4 ; Epsilon : 0.1
21:55:04 p.m. Name : 11 ==> Episode : 5 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:55:15 p.m. Name : 0 ==> Episode : 6 ; Steps : 200 ; Reward : 1.490116E-08 ; Epsilon : 0.1
21:55:15 p.m. Name : 1 ==> Episode : 6 ; Steps : 185 ; Reward : 4.7 ; Epsilon : 0.1
21:55:15 p.m. Name : 2 ==> Episode : 6 ; Steps : 24 ; Reward : 5.4 ; Epsilon : 0.1
21:55:15 p.m. Name : 3 ==> Episode : 6 ; Steps : 200 ; Reward : -0.8000001 ; Epsilon : 0.1
21:55:15 p.m. Name : 4 ==> Episode : 6 ; Steps : 53 ; Reward : 6.1 ; Epsilon : 0.1
21:55:16 p.m. Name : 5 ==> Episode : 6 ; Steps : 200 ; Reward : -2 ; Epsilon : 0.1
21:55:16 p.m. Name : 6 ==> Episode : 6 ; Steps : 200 ; Reward : -0.2 ; Epsilon : 0.1
21:55:16 p.m. Name : 7 ==> Episode : 6 ; Steps : 200 ; Reward : -1.4 ; Epsilon : 0.1
21:55:16 p.m. Name : 8 ==> Episode : 6 ; Steps : 200 ; Reward : -0.8 ; Epsilon : 0.1
21:55:16 p.m. Name : 9 ==> Episode : 6 ; Steps : 9 ; Reward : 5.1 ; Epsilon : 0.1
21:55:16 p.m. Name : 10 ==> Episode : 6 ; Steps : 20 ; Reward : 5.8 ; Epsilon : 0.1
21:55:16 p.m. Name : 11 ==> Episode : 6 ; Steps : 12 ; Reward : 5.2 ; Epsilon : 0.1
21:55:28 p.m. Name : 0 ==> Episode : 7 ; Steps : 11 ; Reward : 5.3 ; Epsilon : 0.1
21:55:29 p.m. Name : 1 ==> Episode : 7 ; Steps : 200 ; Reward : -0.6 ; Epsilon : 0.1
21:55:29 p.m. Name : 2 ==> Episode : 7 ; Steps : 192 ; Reward : 4.4 ; Epsilon : 0.1
21:55:29 p.m. Name : 3 ==> Episode : 7 ; Steps : 200 ; Reward : 0.4 ; Epsilon : 0.1
21:55:29 p.m. Name : 4 ==> Episode : 7 ; Steps : 3 ; Reward : 4.9 ; Epsilon : 0.1
21:55:29 p.m. Name : 5 ==> Episode : 7 ; Steps : 200 ; Reward : -1.4 ; Epsilon : 0.1
21:55:29 p.m. Name : 6 ==> Episode : 7 ; Steps : 167 ; Reward : 4.7 ; Epsilon : 0.1
21:55:29 p.m. Name : 7 ==> Episode : 7 ; Steps : 12 ; Reward : 5.6 ; Epsilon : 0.1
21:55:29 p.m. Name : 8 ==> Episode : 7 ; Steps : 200 ; Reward : -0.5999999 ; Epsilon : 0.1
21:55:29 p.m. Name : 9 ==> Episode : 7 ; Steps : 200 ; Reward : -2.799999 ; Epsilon : 0.1
21:55:29 p.m. Name : 10 ==> Episode : 7 ; Steps : 106 ; Reward : 5.6 ; Epsilon : 0.1
21:55:30 p.m. Name : 11 ==> Episode : 7 ; Steps : 200 ; Reward : -1.2 ; Epsilon : 0.1
21:55:40 p.m. Name : 0 ==> Episode : 8 ; Steps : 200 ; Reward : -2.999999 ; Epsilon : 0.1
21:55:40 p.m. Name : 1 ==> Episode : 8 ; Steps : 68 ; Reward : 5.4 ; Epsilon : 0.1
21:55:40 p.m. Name : 2 ==> Episode : 8 ; Steps : 20 ; Reward : 5.2 ; Epsilon : 0.1
21:55:41 p.m. Name : 3 ==> Episode : 8 ; Steps : 200 ; Reward : -2.2 ; Epsilon : 0.1
21:55:41 p.m. Name : 4 ==> Episode : 8 ; Steps : 84 ; Reward : 5.8 ; Epsilon : 0.1
21:55:41 p.m. Name : 5 ==> Episode : 8 ; Steps : 10 ; Reward : 5.2 ; Epsilon : 0.1
21:55:41 p.m. Name : 6 ==> Episode : 8 ; Steps : 200 ; Reward : -1.4 ; Epsilon : 0.1
21:55:41 p.m. Name : 7 ==> Episode : 8 ; Steps : 7 ; Reward : 5.3 ; Epsilon : 0.1
21:55:41 p.m. Name : 8 ==> Episode : 8 ; Steps : 23 ; Reward : 5.1 ; Epsilon : 0.1
21:55:41 p.m. Name : 9 ==> Episode : 8 ; Steps : 200 ; Reward : -2 ; Epsilon : 0.1
21:55:41 p.m. Name : 10 ==> Episode : 8 ; Steps : 200 ; Reward : -2.999999 ; Epsilon : 0.1
21:55:41 p.m. Name : 11 ==> Episode : 8 ; Steps : 200 ; Reward : -2.6 ; Epsilon : 0.1
21:55:54 p.m. Name : 0 ==> Episode : 9 ; Steps : 195 ; Reward : 4.1 ; Epsilon : 0.1
21:55:55 p.m. Name : 1 ==> Episode : 9 ; Steps : 200 ; Reward : -0.8 ; Epsilon : 0.1
21:55:55 p.m. Name : 2 ==> Episode : 9 ; Steps : 200 ; Reward : -3.799999 ; Epsilon : 0.1
21:55:55 p.m. Name : 3 ==> Episode : 9 ; Steps : 200 ; Reward : -0.6 ; Epsilon : 0.1
21:55:55 p.m. Name : 4 ==> Episode : 9 ; Steps : 200 ; Reward : -3.799999 ; Epsilon : 0.1
21:55:55 p.m. Name : 5 ==> Episode : 9 ; Steps : 58 ; Reward : 5.8 ; Epsilon : 0.1
21:55:55 p.m. Name : 6 ==> Episode : 9 ; Steps : 200 ; Reward : -0.4 ; Epsilon : 0.1
21:55:55 p.m. Name : 7 ==> Episode : 9 ; Steps : 67 ; Reward : 5.9 ; Epsilon : 0.1
21:55:55 p.m. Name : 8 ==> Episode : 9 ; Steps : 28 ; Reward : 6 ; Epsilon : 0.1
21:55:55 p.m. Name : 9 ==> Episode : 9 ; Steps : 200 ; Reward : -1.8 ; Epsilon : 0.1
21:55:56 p.m. Name : 10 ==> Episode : 9 ; Steps : 156 ; Reward : 4.8 ; Epsilon : 0.1
21:55:56 p.m. Name : 11 ==> Episode : 9 ; Steps : 70 ; Reward : 6 ; Epsilon : 0.1
